"","replicate","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"1",1,2017,3,31,3118304,2,2,1,197.362069,211.467814,"B","C","C","B","A","A","A","A",NA,"A"
"2",1,2017,3,31,3106200,1,2,1,190.13145,188.716227,"A","C","C","B","A","B","A","D","D","B"
"3",1,2017,3,35,3525904,2,3,1,228.579841,276.433255,"B","C","C","B","A","B","B","A","A","B"
"4",1,2017,3,33,3301702,2,3,1,198.801218,236.694033,"A","C","D","A","A","B","B","E","E","B"
"5",1,2017,2,29,2906824,2,3,2,141.584391,138.212813,"B","C","E","A",NA,"B","C","D","A","C"
"6",1,2017,3,35,3550308,1,3,1,159.383294,126.045221,"B","C","D","A","B","B","A","D","B","A"
"7",1,2017,5,51,5107008,2,3,1,226.010617,238.5325,"B","B",NA,"A","A","C","B","A","A","B"
"8",1,2017,3,31,3143401,2,3,1,114.67806,164.168596,"A","C","D","A","A","A","A","C","A","C"
"9",1,2017,2,27,2706307,2,3,1,266.73778,285.750059,"B","E","D","B","A","A","A","B","B","C"
"10",1,2017,3,35,3518800,2,3,1,187.69401,168.13628,"A","A","D","B","A","B","B","D","D","B"
"11",1,2017,5,53,5300108,1,2,1,253.47229,263.564158,"B","A","D","A","A","B","A","E","A","C"
"12",1,2017,3,35,3550308,1,3,1,199.267968,208.175923,"B","C","D","B","A","C","B","B","A","B"
"13",1,2017,3,35,3518800,2,3,1,125.58583,156.361555,"B","F","C","B","A","A","A","D","D","C"
"14",1,2017,2,29,2926400,2,3,2,213.622985,221.051895,"B","A","D","B","A","A","C","A","D","A"
"15",1,2017,3,35,3531100,2,3,1,204.719071,181.716886,"B","A","C","B","B","B","B","E","E","B"
"16",1,2017,3,31,3106200,1,3,1,235.050116,241.659619,"B","C","C","A","A","B","C","A","E","B"
"17",1,2017,1,15,1504208,2,3,1,199.254471,242.427636,"A","E","C","B","A","A","C","D","D","C"
"18",1,2017,3,35,3525904,2,3,1,171.890314,149.028147,"A","C","C","D","B","C","A","D","E","B"
"19",1,2017,1,13,1302603,1,2,1,236.78159,237.697021,"A","E","D","B","A","C","A","D","D","C"
"20",1,2017,1,13,1301506,2,3,1,129.396803,119.601227,"B","A","C","A","A","A","A","A","D","A"
"21",1,2017,3,35,3525904,2,3,1,267.164423,336.830001,"B","C","D","B","A","A","A","D","A","B"
"22",1,2017,4,41,4106902,1,3,1,235.748039,267.540171,"B","A","C","A","B","B","A","D","A","B"
"23",1,2017,3,31,3152006,2,3,1,148.902112,198.357486,"A","C","C","A","A","B","B","A","C","A"
"24",1,2017,3,35,3541406,2,3,1,206.646512,219.487412,"B","A","D","A","A","A","A","D","A","B"
"25",1,2017,5,51,5103502,2,2,1,198.963302,231.679374,"A","C",NA,"A","A","A","B","B","B","B"
"26",1,2017,3,35,3525300,2,3,1,229.876849,216.475598,"B","F","D","B","A","A","B","D","B","B"
"27",1,2017,3,35,3550308,1,2,1,258.748746,237.147041,"B","E","D","B","A","A","A","D","A","B"
"28",1,2017,3,33,3304557,1,3,1,153.952025,115.455078,"A","C","C","B","A","A","B","D","E","C"
"29",1,2017,5,52,5208608,2,3,1,321.640024,325.708378,"B","C","D","B","A","A","A","D","D","A"
"30",1,2017,3,33,3303500,2,3,1,216.322505,246.154983,"A","B","C","B","A","B","A","B","C","B"
"31",2,2017,2,29,2910800,2,3,2,229.925331,204.421859,"B","F","D","A","A","B","A","D","C","A"
"32",2,2017,2,21,2102325,2,3,1,135.391401,149.012664,"B","B","E","A","A","B",NA,"D","E","A"
"33",2,2017,3,35,3519071,2,3,1,187.740784,171.018759,"A","D","C","B","B","A","A","A","B","B"
"34",2,2017,2,26,2611606,1,2,1,210.726617,212.333083,"B","C","D","B","A","B","A","C","A","B"
"35",2,2017,1,13,1302603,1,3,1,223.999159,239.241158,"B","C","C","A","A","A","A","B","B","C"
"36",2,2017,2,29,2927408,1,3,1,241.05667,202.414374,"A","C","D","A","A","B","A","A","D","B"
"37",2,2017,2,28,2805505,2,2,2,161.515793,207.477157,"B","C","D","A","A","B","B","B","A","B"
"38",2,2017,1,15,1502400,2,3,1,213.152818,171.811872,"B","E","E","A","A","B","A","E","D","A"
"39",2,2017,4,41,4106902,1,3,1,257.09275,294.107639,"B","C","C","C","A","B","A","B","A","C"
"40",2,2017,5,50,5003306,2,2,1,221.078549,231.497891,"B","C","E","B","A","A","A","A","A","C"
"41",2,2017,4,43,4321501,2,3,2,235.379409,239.260497,"B","A","C","A","A","A",NA,"D","D","C"
"42",2,2017,2,23,2309607,2,3,2,183.515509,211.817476,"B","F","D","A","A","A","A","D","E","A"
"43",2,2017,3,32,3205002,2,2,1,297.216089,271.032938,"B","B","C","A","A","C","A","A","A","B"
"44",2,2017,4,42,4219705,2,3,1,131.127451,166.96718,"A","B","E","B",NA,"A","B","D","A","A"
"45",2,2017,2,21,2105302,2,3,1,302.169644,229.993046,"B","A","D","A","C","C","A","D","E","C"
"46",2,2017,2,28,2800308,1,2,1,247.799271,235.606369,"B","C","D","C","A","A","A","D","A","B"
"47",2,2017,3,35,3550308,1,3,1,213.274905,207.635053,"A","C","D","C","A","A","A","D","A","B"
"48",2,2017,4,42,4207502,2,2,1,224.237933,225.253656,"A","A","C","B","A","B","A","B","B","C"
"49",2,2017,5,52,5221403,2,2,1,163.640909,181.019909,"A","B","D","A","A","C","C","B","D","A"
"50",2,2017,3,35,3533007,2,3,1,214.70309,274.585175,"A","A","C","B","A","A","A","B","A","A"
"51",2,2017,2,26,2605152,2,3,1,178.111346,230.622617,"A","C","C","A","A","A","A","B","E","A"
"52",2,2017,2,23,2304202,2,3,1,164.382355,154.018437,"A","F","E","B","A","C","A","C","E","A"
"53",2,2017,3,33,3302502,2,3,2,165.080884,137.592297,"A","A","D","C","B","A","A","A","A","A"
"54",2,2017,3,31,3157807,2,3,1,120.500657,174.06355,"B","A","D","B","A","B","B","D",NA,"B"
"55",2,2017,3,31,3118304,2,3,1,274.354713,274.625026,"A","A","D","E","A","A",NA,"C","A","C"
"56",2,2017,4,43,4321204,2,3,2,113.260232,132.321986,"B","A","E",NA,"B","B","B","A","A","A"
"57",2,2017,2,27,2703205,2,3,2,140.943766,139.260627,"A","B","F","A","B","B","B","B","A","C"
"58",2,2017,5,50,5008305,2,3,1,221.068577,288.757569,"A","F","E","B","A","C","C","B","A","B"
"59",2,2017,2,22,2210508,2,3,1,204.612521,224.363571,"B","C","D","A","A","A","C","A","A","C"
"60",2,2017,3,31,3132404,2,3,1,263.479448,192.63657,"B","F","E","C","A","A","A","D","A","B"
"61",3,2017,2,21,2103307,2,3,1,162.565982,161.641759,"A","A","E","A","A","B","B","A","D","A"
"62",3,2017,2,23,2309409,2,3,2,153.742119,200.55383,"B","B","C","C","A","A","B","D","D","A"
"63",3,2017,2,23,2312403,2,3,1,193.584207,196.082947,"A","C","D","A","A",NA,"B",NA,"E","B"
"64",3,2017,5,53,5300108,1,2,1,254.127625,188.266405,"B","F","C","B","A","A","A","B","A","B"
"65",3,2017,3,33,3304557,1,3,1,260.357417,255.265209,"B","A","C","B","A","A","A","B","A","A"
"66",3,2017,2,21,2103257,2,3,1,250.883618,196.984826,"A","C","C","A","A","A","C","B","A","C"
"67",3,2017,2,29,2909307,2,3,1,208.323995,228.172465,"A","C","E","B","B",NA,"C","A","C","C"
"68",3,2017,3,33,3304557,1,3,1,158.835941,179.006388,"B","C","C","B","A","B","B","B","A","A"
"69",3,2017,3,35,3550308,1,3,1,215.655434,217.527101,"B","A","D","C","A","B","B","B","A","B"
"70",3,2017,3,35,3550308,1,3,1,259.261555,298.357691,"A","C","D","A","A","A","A","A","B","A"
"71",3,2017,3,35,3548906,2,3,1,263.158089,268.056336,"A","A","C","B","A","A","B","D","A","B"
"72",3,2017,3,32,3201308,2,3,1,256.846593,263.854575,"B","A","C","B","A","B","A","B","E","A"
"73",3,2017,2,26,2607208,2,3,1,165.663662,163.751807,"A","B","D","A","A","A","C","C","A","C"
"74",3,2017,3,31,3131703,2,2,1,195.898513,254.817456,"B","A","C","B","A","A","A","B","A","A"
"75",3,2017,3,35,3524402,2,3,1,216.446575,178.986434,"B","C","D","C","A","C","B","C","A","A"
"76",3,2017,2,27,2700300,2,3,1,168.008876,252.353666,"B","F","D","A","A","B","B","D","D","C"
"77",3,2017,3,32,3201407,2,3,1,262.568975,251.313454,"B","A","D","A","A","B","A","B","A","C"
"78",3,2017,4,43,4314407,2,3,1,260.769957,307.99364,"B","C","D","B","C","A","A","B",NA,"C"
"79",3,2017,3,31,3130002,2,3,1,212.287467,238.579561,"A",NA,"C","B","A","A","A","D","A","A"
"80",3,2017,1,15,1508209,2,3,1,194.804855,236.960025,"B","C","D","A","A","A","C","B","D","C"
"81",3,2017,2,29,2901601,2,3,2,186.858519,184.207952,"A","E","D","B","A","A","A","A","C","B"
"82",3,2017,5,52,5221858,2,3,1,257.662085,217.600599,"B","F","D","A","A","A","A","D","E","C"
"83",3,2017,1,15,1507300,2,3,1,232.754596,255.661989,"B","B","D","A","A","C","C","E","C","A"
"84",3,2017,2,29,2919207,2,3,1,244.023117,183.642656,"A","E","C","B","A","A","C","D","C","A"
"85",3,2017,3,31,3143302,2,3,1,229.925992,276.570974,"A","C","D","B","A","A","A","C","B","B"
"86",3,2017,2,29,2920205,2,3,2,203.231385,250.204997,"A","E","C","B","A","B","A","E","A","C"
"87",3,2017,2,26,2609600,2,3,1,225.816248,256.651954,"A","C","D","A","A","B","A","A","E","B"
"88",3,2017,1,15,1506559,2,3,1,114.583575,136.03318,"A","A","D","A","A","A","A","E","A","C"
"89",3,2017,3,35,3552403,2,3,1,231.296219,206.217624,"B","C","C","B","B","B","A","D","E","B"
"90",3,2017,2,26,2616407,2,3,1,161.658264,241.439012,"A","C","D","C","A","A","A","A","A","B"
"91",4,2017,3,35,3550308,1,2,1,217.953488,237.200194,"B","F","D","B","A","B","B","D","D","B"
"92",4,2017,3,31,3134202,2,2,1,184.005454,180.959769,"A","A","C","B","A","A",NA,"A","B","B"
"93",4,2017,4,42,4207007,2,3,1,253.405737,260.875458,"B","A","C","B","A","A","A","B","A","B"
