"","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"1310",2017,1,13,1304062,2,3,1,168.850262,155.316425,"A","E","C","A","A","B","A","A","C","C"
"158",2017,3,31,3114303,2,3,1,286.705928,298.064089,"B","C","D","B","A","A","A","C","C","A"
"1528",2017,1,15,1501402,1,1,1,253.154566,223.849529,"B","C","C","A","A","A","A","A","C","A"
"1916",2017,5,53,5300108,1,2,1,253.47229,263.564158,"B","A","D","A","A","B","A","E","A","C"
"457",2017,2,23,2307650,2,3,1,167.266713,189.672712,"B","C","C","B","A","B","A","A","E","B"
"1787",2017,5,51,5103403,1,3,1,216.789035,263.42208,"A","C","C","B","A","B","A",NA,NA,"C"
"682",2017,4,41,4119954,2,3,1,213.259093,258.452022,"A","C","C","A","A","A","A","B","B","B"
"1449",2017,3,35,3523909,2,3,1,222.493843,167.977267,"B","A","D","C","A","B","B","A","E","C"
"1280",2017,2,29,2932606,2,3,1,195.113598,161.349554,"A","A","D","A","A","A","A",NA,"E","A"
"1700",2017,2,29,2900702,2,3,1,225.592073,214.178088,"A",NA,"D","A","A","A","A","B","A","B"
"731",2017,1,15,1504901,2,3,2,116.417082,140.963387,"B","A","D","A","A","A","A","A","A","B"
"1236",2017,3,31,3159100,2,3,1,166.591434,202.467193,"A","C","D","C","A","A","B","C","A","A"
"1189",2017,3,35,3506359,2,3,1,268.792377,271.552066,"B","A","D","A","A","A","B","C","A","C"
"655",2017,5,52,5215603,2,3,2,165.185561,223.541954,"A","B","C","A","A","A","A","C","A","C"
"889",2017,3,35,3540705,2,3,1,225.169617,232.899727,"A","A","C","B","A","A","A","B","E","B"
"1079",2017,4,41,4125605,2,3,1,210.566295,275.620469,"B","C","D","B","A","C","B","E","B","B"
"922",2017,2,26,2602902,2,3,2,156.511773,181.976953,"B","F","D","B","A","B","A","A","A","A"
"654",2017,3,35,3534401,2,3,1,206.823362,178.635095,"B","C","C","B","A","A","A","D","A","B"
"960",2017,3,35,3556354,2,3,1,241.696689,238.7834,"A",NA,"C","B","A","A","A","D","A","C"
"915",2017,1,15,1500800,2,3,1,329.610766,239.690589,"B","C","D","A","A","B","A","D","A","C"
"999",2017,2,29,2932606,2,3,1,271.431624,279.427295,"A","C","C","C","A","A","C","A","A","B"
"212",2017,1,17,1718451,2,3,1,137.074614,157.469397,"B","E","D","C","C","B","C","B","C","C"
"1683",2017,2,21,2103802,2,3,2,156.927617,149.144738,"B","B","D","E","A","B","A","A","A","A"
"1538",2017,2,24,2403251,2,3,1,181.361689,189.974698,"A","C","C",NA,"A","A","C","D","A","A"
"1745",2017,4,41,4106902,1,3,1,209.693726,239.990507,"A","F","C","A","C","C","A","B","A","A"
"591",2017,2,23,2304400,1,3,1,270.819206,212.052503,"B","A","D","A","B","A","C","E","B","B"
"1759",2017,1,11,1101401,2,2,1,250.189717,255.628789,"B",NA,"D","A","A","B","C","D","A","A"
"187",2017,5,52,5204508,2,3,1,220.457151,223.089114,"A","D","E","A","A","C","C","B","A","B"
"1110",2017,3,33,3304557,1,3,1,287.082657,238.877188,"B","E","C","C","B","A","A","B","A","B"
"1333",2017,2,29,2926400,2,3,2,213.622985,221.051895,"B","A","D","B","A","A","C","A","D","A"
"239",2017,5,52,5201306,2,3,1,206.086103,246.24592,"B","A","C","C","A","A","A","D","D","C"
"1659",2017,2,29,2910800,2,3,2,229.925331,204.421859,"B","F","D","A","A","B","A","D","C","A"
"1474",2017,3,33,3304557,1,3,1,187.049307,158.817185,"B","C","D","B","A","B","B","D","E","A"
"1811",2017,2,29,2917706,2,3,1,140.808677,201.21621,"A","B","H","A",NA,"A","B","B","C","C"
"140",2017,3,35,3513504,2,3,1,228.562101,253.168576,"A","C","D","B","A","B","A","B","A","A"
"309",2017,1,12,1200401,1,2,1,258.056608,215.971506,"B","C","D","C","B","B","A","D","C","A"
"1229",2017,2,21,2111300,1,2,1,172.956811,180.96357,"B","C","C",NA,"A","A","A","B","A","A"
"913",2017,1,13,1301308,2,3,1,177.096306,198.859846,"A","C","D","A","A","A","A","A","C","C"
"427",2017,2,21,2112233,2,3,1,193.632964,185.712685,"B","C","D","A","A","A","B","C","A","C"
"707",2017,3,31,3127305,2,3,1,107.024986,123.35708,"A","F","D","A","A","A","A","C","C","A"
"442",2017,4,41,4106902,1,3,1,201.803861,207.179475,"B","F","C","B","A","B","A","B","D","A"
"365",2017,2,29,2927408,1,3,1,297.01274,302.961933,"B","F","C","A","C","C","A","D","A","C"
