ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,31,3106200,1,3,1,259.549418,264.657915,A, ,D,B,A,A,A,D,E,B
2017,2,28,2804508,2,3,1,156.106065,160.536656,A,B,E,B,A,B,B,D,C,B
2017,3,31,3169000,2,2,1,213.750857,263.1249,A,C,D,D,A,A,A,D,C,B
2017,4,43,4311809,2,3,1,184.864856,213.358372,B,A,D,A,A, ,C,B,D,A
2017,3,32,3203056,2,3,2,192.874108,235.568418,B,A,C,B,A,A,A,B,B,B
2017,3,31,3143401,2,3,1,114.67806,164.168596,A,C,D,A,A,A,A,C,A,C
2017,4,43,6310376,2,2,1,256.461105,260.52982,A,C,D,A,A,B,A,B,C,C
2017,3,31,3143302,2,2,1,224.451751,227.966279,A,C,D,B,A,A,B,C,D,B
2017,2,29,2929404,2,3,1,132.692984,232.104826,B,D,G,B,A,B,B,A,A,A
2017,2,29,2919207,2,3,1,130.415699,148.072444,A,A, ,B,A,A,A,D,C,A
2017,3,31,3118304,2,2,1,197.362069,211.467814,B,C,C,B,A,A,A,A, ,A
2017,1,11,1100205,1,3,1,276.387713,265.973509,A,C,D,A,A,A,A,A,A,A
2017,3,35,3506359,2,3,1,243.80963,274.395029,B,C,C,B,A,A,A,D,A,C
2017,3,35,3549904,2,2,1,199.437215,209.442164,A,A,D,D,A,A,A,D,D,B
2017,2,23,2313500,2,3,1,192.073602,174.355867,A,C,E,A, ,B,A, ,E,B
2017,2,29,2924652,2,3,1,136.217637,135.662111,B,C,D,B,A,A,A,D,D,A
2017,2,29,2907202,2,3,1,180.221311,165.32294,A,B,E,A,B,A,A,A,D,C
2017,3,35,3543303,2,3,1,257.497025,266.776849,B,C,D,B,A,A,A,D,B,C
2017,2,28,2804508,2,3,2,153.314539,162.703602,A,A,E,A,A,A,B,D,A,C
2017,1,15,1504208,2,3,1,240.116557,199.007346,B,C,C,B,A,B,A,B,A,A
2017,3,35,3556701,2,3,1,302.672371,293.57532,B,C,D,B,A,C,B,B,A,B
2017,2,23,2314003,2,3,1,200.377604,196.969232,B,C,D,A,A,B,B,E,A,B
2017,2,29,2911709,2,3,1,164.109533,174.591509,A,E,H,B,A,B,A,A,C,C
2017,3,31,3171600,2,2,1,208.584642,226.271903,A,C,D,A,A,A,B,A,A,A
2017,3,31,3149903,2,3,1,213.960817,155.022431,A,B,C, ,A,B,B,D,B,A
